,kcat,MW,kcat_MW
ACPPAT180,26522.703108847407,10.366238399999984,2558.5658061701
ACPPAT181,2403.2665072480495,10.366238399999984,231.8359287635188
APH140,3134500.00031,10.662863699999996,293964.1815275198
DASYN120,20904.0,30.733134600000017,680.177934079005
DASYN140,20904.0,30.733134600000017,680.177934079005
DASYN141,20904.0,30.733134600000017,680.177934079005
DASYN160,20904.0,30.733134600000017,680.177934079005
DASYN161,20904.0,30.733134600000017,680.177934079005
DASYN180,20904.0,30.733134600000017,680.177934079005
DASYN181,20904.0,30.733134600000017,680.177934079005
G3PAT120_num1,107.08200000000001,51.947940100000075,2.061332938204413
G3PAT140_num1,107.08200000000001,51.947940100000075,2.061332938204413
G3PAT141_num1,107.08200000000001,51.947940100000075,2.061332938204413
G3PAT160_num1,107.08200000000001,51.947940100000075,2.061332938204413
G3PAT161_num1,107.08200000000001,51.947940100000075,2.061332938204413
G3PAT180_num1,107.08200000000001,51.947940100000075,2.061332938204413
G3PAT181_num1,107.08200000000001,51.947940100000075,2.061332938204413
GPDDA2,7360.5599999999995,57.373390000000015,128.29222745945458
GPDDA3,7360.5599999999995,57.373390000000015,128.29222745945458
GPDDA4,7360.5599999999995,57.373390000000015,128.29222745945458
GPDDA5,7360.5599999999995,57.373390000000015,128.29222745945458
LPLIPAL1A180pp_num1,3725459.9999999995,35.81396650000001,104022.54662297734
GHMT2r,125371.30382608695,93.08048380000018,1346.912894173061
GLYCK2,990000.0,48.19786580000005,20540.328571975875
PGCD,986400.0,55.30092640000011,17836.952546964894
PSERT,3856.5,40.04563320000005,96.30263506483887
PSP_L,600507.7019999999,36.240626900000045,16570.014190345013
SARCOX,72104.4,30.962798400000008,2328.742998888627
SERD_L,1141984.8,46.562444300000045,24525.87739256633
ENO,238467.23027027026,44.948827400000056,5305.3048113613295
FBA,27158.12726727273,37.21361340000001,729.7901167338059
FBP,11520.0,141.47546840000012,81.4275445084866
GAPD_num1,23220.0,39.23288790000006,591.8503898867962
GLBRAN2,1800270.0,82.59199560000043,21797.148584698814
GLCP_num1,320258.55272727273,92.09965480000068,3477.304593841652
GLCP2_num1,320258.55272727273,92.09965480000068,3477.304593841652
GLCS1,1093500.0,44.931681100000084,24336.948300828164
GLGC,376669.63636363635,175.43988760000013,2147.001126804393
HEX1,466345.71257142856,34.186402600000044,13641.263107672756
PDH,1749600.0,2277.980928600012,768.0485723272753
PFK,304632.0,74.92625080000008,4065.7579519513297
PGI,5305851.828,59.16571200000018,89677.81589444887
