	reaction	equ	g0
GNK_num1	GNK_num1	atp_c + glcn_c --> 6pgc_c + adp_c + h_c	-12.7
GUI1	GUI1	glcur_c --> fruur_c	0.6
HCO3E	HCO3E	co2_c + h2o_c --> h_c + hco3_c	-9.5
HEX7	HEX7	atp_c + fru_c --> adp_c + f6p_c + h_c	-18.6
HPYRI_num1	HPYRI_num1	hpyr_c --> 2h3oppan_c	1.6
HSST_2	HSST_2	hom__L_c + succoa_c --> coa_c + suchms_c	-29
HXCT	HXCT	accoa_c + hxa_c --> ac_c + hxcoa_c	-0.0
MALGT	MALGT	malt_c --> tre_c	0.4
MALTATr	MALTATr	accoa_c + malt_c --> acmalt_c + coa_c	-3
MAN1PG	MAN1PG	gtp_c + man1p_c --> gdpmann_c + ppi_c	-8.9
MAN6PI	MAN6PI	man6p_c --> f6p_c	-1.4
MCITL2_num1	MCITL2_num1	micit_c --> pyr_c + succ_c	0.0
MM_COA_ADD5	MM_COA_ADD5	atp_c + hco3_c + ppcoa_c --> adp_c + h_c + mmcoa__S_c + pi_c	-6
MMM2	MMM2	succoa_c --> mmcoa__R_c	8.8
MSDH_num1	MSDH_num1	2mop_c + coa_c + h2o_c + nad_c --> hco3_c + nadh_c + ppcoa_c	-39.2
PFK_2	PFK_2	atp_c + tag6p__D_c --> adp_c + h_c + tagdp__D_c	-20.5
PGLYCP_num1	PGLYCP_num1	2pglyc_c + h2o_c --> glyclt_c + pi_c	-32.0
PGMT	PGMT	g1p_c --> g6p_c	-7.4
PMANM_num1	PMANM_num1	man1p_c --> man6p_c	-4.4
PPASUCC	PPASUCC	oaa_c + ppa_c --> pyr_c + succ_c	0.0
RBK_num1	RBK_num1	atp_c + rib__D_c --> adp_c + h_c + r5p_c	-30.1
SUCptsp	SUCptsp	h2o_c + sucr_e --> f6p_c + g6p_c	-1814.6
TRE6p	TRE6p	h2o_c + tre6p_c --> g6p_c + glc__D_c	-9.6
TRE6PP	TRE6PP	h2o_c + tre6p_c --> pi_c + tre_c	-4.4
TRE6PS	TRE6PS	g6p_c + udpg_c --> h_c + tre6p_c + udp_c	-19.4
UACGAMPpp	UACGAMPpp	h2o_c + uacgam_c --> acgam1p_c + 2.0 h_c + ump_c	-36
UDPG4E	UDPG4E	udpg_c --> udpgal_c	1.3
UDPGALPpp	UDPGALPpp	h2o_c + udpgal_c --> gal1p_c + 2.0 h_c + ump_c	-40.6
UDPGPpp_num1	UDPGPpp_num1	h2o_c + udpg_c --> g1p_c + 2.0 h_c + ump_c	-43
UGLCURPpp	UGLCURPpp	h2o_c + udpglcur_c --> glcur1p_c + 2.0 h_c + ump_c	-37
XYLI1	XYLI1	xyl__D_c --> xylu__D_c	3.7
XYLI2	XYLI2	fru_c --> glc__D_c	0.12
XYLK	XYLK	atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c	-25.5
GALKr	GALKr	atp_c + gal_c --> adp_c + gal1p_c + h_c	-17.0
M1PD	M1PD	f6p_c + h_c + nadh_c --> mnl1p_c + nad_c	-5.7
