	reaction	equ	g0
GTPDPDP_num1	GTPDPDP_num1	gdptp_c + h2o_c --> h_c + pi_c + ppgpp_c	-32.8
GTPDPK	GTPDPK	atp_c + gtp_c --> amp_c + gdptp_c + h_c	-8
HETZK	HETZK	4mhetz_c + atp_c --> 4mpetz_c + adp_c + h_c	-19.1
HMBS	HMBS	h2o_c + 4.0 ppbng_c --> hmbil_c + 4.0 nh4_c	-121
HPPK2	HPPK2	6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c	-8
ICHORS	ICHORS	chor_c --> ichor_c	1.0
IPDDI	IPDDI	ipdp_c --> dmpp_c	-4.8
IPDPS	IPDPS	h2mb4p_c + h_c + nadh_c --> h2o_c + ipdp_c + nad_c	-56.8
LIPAMPL	LIPAMPL	lipoamp_c --> amp_c + lipopb_c	-0.0
LIPATPT	LIPATPT	atp_c + lipoate_c --> lipoamp_c + ppi_c	0.0
LIPOCT	LIPOCT	h_c + ocACP_c --> ACP_c + octapb_c	0.0
LIPOS	LIPOS	4fe4s_c + 2.0 amet_c + h_c + nad_c + octapb_c --> 2fe2s_c + 2.0 dad_5_c + 2.0 fe2_c + lipopb_c + 2.0 met__L_c + nadh_c	0.0
MECDPDH2	MECDPDH2	2mecdp_c + nadh_c --> h2mb4p_c + h2o_c + nad_c	-0.0
MECDPS	MECDPS	2p4c2me_c --> 2mecdp_c + cmp_c	0.0
MEPCT	MEPCT	2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c	-9.7
MOCOS_num1	MOCOS_num1	2.0 h_c + mobd_c + mptamp_c --> amp_c + cu2_c + h2o_c + moco_c	-0.0
MOHMT	MOHMT	3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c	10
MPTAT	MPTAT	atp_c + h_c + mpt_c --> mptamp_c + ppi_c	-0.0
MPTS	MPTS	cpmp_c + cu2_c + 2.0 moadcosh_c --> 5.0 h_c + 2.0 moadcoo_c + mpt_c	0.0
MPTSS	MPTSS	atp_c + h_c + moadcoo_c --> moadamp_c + ppi_c	-0.0
MSDHD_num1	MSDHD_num1	coa_c + msa_c + nad_c --> accoa_c + co2_c + nadh_c	-26
NADDP_num1	NADDP_num1	h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c	-42.5
NADK	NADK	atp_c + nad_c --> adp_c + h_c + nadp_c	-13.1
NADPPPS_num1	NADPPPS_num1	h2o_c + nadp_c --> nad_c + pi_c	-17.6
NADS1	NADS1	atp_c + dnad_c + nh4_c --> amp_c + h_c + nad_c + ppi_c	-27.0
NNAM	NNAM	h2o_c + ncam_c --> nac_c + nh4_c	-2.5
NNDMBRT	NNDMBRT	dmbzid_c + nicrnt_c --> 5prdmbz_c + h_c + nac_c	-25
NNDPR	NNDPR	2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c	-26
NPHS	NPHS	sbzcoa_c --> coa_c + dhna_c	-110
OCTDPS	OCTDPS	frdp_c + 5.0 ipdp_c --> octdp_c + 5.0 ppi_c	-419
OCTNLL	OCTNLL	atp_c + h_c + octa_c --> amp_c + octapb_c + ppi_c	-0.0
OHPBAT	OHPBAT	glu__L_c + ohpb_c --> akg_c + phthr_c	10.0
OMBZLM	OMBZLM	2ombzl_c + amet_c --> 2ommbl_c + ahcys_c + h_c	-0.0
PANTS_num1	PANTS_num1	ala_B_c + atp_c + pant__R_c --> amp_c + h_c + pnto__R_c + ppi_c	-47
PMPK	PMPK	4ampm_c + atp_c --> 2mahmp_c + adp_c	5
PNTK	PNTK	atp_c + pnto__R_c --> 4ppan_c + adp_c + h_c	-17.9
PPBNGS	PPBNGS	2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c	-104
PPCDC	PPCDC	4ppcys_c + h_c --> co2_c + pan4p_c	-21.2
PPGPPDP	PPGPPDP	h2o_c + ppgpp_c --> gdp_c + ppi_c	-34
PPNCL2	PPNCL2	4ppan_c + ctp_c + cys__L_c --> 4ppcys_c + cmp_c + h_c + ppi_c	-60
PPPGO	PPPGO	1.5 o2_c + pppg9_c --> 3.0 h2o_c + ppp9_c	-0.0
PPPGO3	PPPGO3	3.0 fum_c + pppg9_c --> ppp9_c + 3.0 succ_c	-0.0
PTPATi	PTPATi	atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c	-18
PY5PSH	PY5PSH	g3p_c + gln__L_c + r5p_c --> glu__L_c + 3.0 h2o_c + h_c + pi_c + pydx5p_c	-308
PYDAMK	PYDAMK	atp_c + pydam_c --> adp_c + h_c + pyam5p_c	-17.3
PYDXK	PYDXK	atp_c + pydx_c --> adp_c + h_c + pydx5p_c	-18.3
PYDXNK	PYDXNK	atp_c + pydxn_c --> adp_c + h_c + pdx5p_c	-10.9
QULNS	QULNS	dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c	-221
RBFSa	RBFSa	4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c	-100
RBFSb	RBFSb	2.0 dmlz_c --> 4r5au_c + ribflv_c	-95
RZ5PP	RZ5PP	5prdmbz_c + h2o_c --> pi_c + rdmbzi_c	-15.4
SEPHCHCS	SEPHCHCS	akg_c + h_c + ichor_c --> 2sephchc_c + co2_c	-1
SUCBZL	SUCBZL	atp_c + coa_c + sucbz_c --> amp_c + ppi_c + sbzcoa_c	-18.5
TDPDSH	TDPDSH	dtdp4d6dg_c --> dtdp4d6dm_c	-15.4
TMPK	TMPK	atp_c + thmmp_c --> adp_c + thmpp_c	-50
TMPPP_num1	TMPPP_num1	2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c	-25.6
TYRL	TYRL	amet_c + nadph_c + tyr__L_c --> 4crsol_c + dad_5_c + dhgly_c + h_c + met__L_c + nadp_c	-0.0
UDCPDPS	UDCPDPS	frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c	-671
UPP3S	UPP3S	hmbil_c --> h2o_c + uppg3_c	-0
UPPDC1	UPPDC1	4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c	-24
WCOS_num1	WCOS_num1	2.0 h_c + mptamp_c + tungs_c --> amp_c + cu2_c + h2o_c + wco_c	-0.0
NAMNPP	NAMNPP	atp_c + h2o_c + nac_c + prpp_c --> adp_c + nicrnt_c + pi_c + ppi_c	-39.2
RBFK	RBFK	atp_c + ribflv_c --> adp_c + fmn_c + h_c	-16.5
ADSK	ADSK	aps_c + atp_c --> adp_c + h_c + paps_c	-17
AMPTASECG_num1	AMPTASECG_num1	cgly_c + h2o_c --> cys__L_c + gly_c	8
BPNT	BPNT	h2o_c + pap_c --> amp_c + pi_c	-7.2
CYSS	CYSS	acser_c + h2s_c --> ac_c + cys__L_c + h_c	-51
MCPST_num1	MCPST_num1	cyan_c + mercppyr_c --> h_c + pyr_c + tcynt_c	-80
PAPSR	PAPSR	paps_c + trdrd_c --> 2.0 h_c + pap_c + so3_c + trdox_c	-47
PAPSR2	PAPSR2	grxrd_c + paps_c --> grxox_c + 2.0 h_c + pap_c + so3_c	0.0
SADT2	SADT2	atp_c + gtp_c + h2o_c + so4_c --> aps_c + gdp_c + pi_c + ppi_c	17.8
SERAT	SERAT	accoa_c + ser__L_c --> acser_c + coa_c	-6.0
SULRi	SULRi	5.0 h_c + 3.0 nadph_c + so3_c --> 3.0 h2o_c + h2s_c + 3.0 nadp_c	-106
5FTHFC	5FTHFC	5fthf_c + atp_c --> adp_c + mlthf_c + pi_c	-13
FOMETRi	FOMETRi	5fthf_c + h_c --> h2o_c + methf_c	-45
FTHFD	FTHFD	10fthf_c + h2o_c --> for_c + h_c + thf_c	-25.6
GLYCL	GLYCL	gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c	19
MTHFC	MTHFC	h2o_c + methf_c --> 10fthf_c + h_c	-5.0
MTHFD	MTHFD	mlthf_c + nadp_c --> methf_c + nadph_c	5.5
MTHFR2	MTHFR2	2.0 h_c + mlthf_c + nadh_c --> 5mthf_c + nad_c	-39
TMDS2	TMDS2	dump_c + h_c + mlthf_c + nadph_c --> dtmp_c + nadp_c + thf_c	-63.4
GLNS_num1	GLNS_num1	atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c	-16.4
GLUDC	GLUDC	glu__L_c + h_c --> 4abut_c + co2_c	-19.3
GLUDy	GLUDy	akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c	-33.2
GLUN	GLUN	gln__L_c + h2o_c --> glu__L_c + nh4_c	-14.2
GLUSy	GLUSy	akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c	-47.4
ACPPAT120	ACPPAT120	ddcaACP_c + h_c + pi_c --> ACP_c + ddcap_c	-0.0
ACPPAT140	ACPPAT140	h_c + myrsACP_c + pi_c --> ACP_c + ttdcap_c	-0.0
ACPPAT141	ACPPAT141	h_c + pi_c + tdeACP_c --> ACP_c + ttdceap_c	-0.0
ACPPAT160	ACPPAT160	h_c + palmACP_c + pi_c --> ACP_c + hdcap_c	-0.0
ACPPAT161	ACPPAT161	h_c + hdeACP_c + pi_c --> ACP_c + hdceap_c	-0.0
ACPPAT180	ACPPAT180	h_c + ocdcaACP_c + pi_c --> ACP_c + ocdcap_c	-0.0
ACPPAT181	ACPPAT181	h_c + octeACP_c + pi_c --> ACP_c + ocdceap_c	-0.0
AGPAT120	AGPAT120	1ddecg3p_c + ddcaACP_c --> ACP_c + pa120_c	-0.0
AGPAT140	AGPAT140	1tdecg3p_c + myrsACP_c --> ACP_c + pa140_c	0.0
AGPAT141	AGPAT141	1tdec7eg3p_c + tdeACP_c --> ACP_c + pa141_c	0.0
AGPAT160	AGPAT160	1hdecg3p_c + palmACP_c --> ACP_c + pa160_c	0.0
AGPAT161	AGPAT161	1hdec9eg3p_c + hdeACP_c --> ACP_c + pa161_c	0.0
AGPAT180	AGPAT180	1odecg3p_c + ocdcaACP_c --> ACP_c + pa180_c	0.0
AGPAT181	AGPAT181	1odec11eg3p_c + octeACP_c --> ACP_c + pa181_c	0.0
APH140	APH140	h2o_c + ttdcap_c --> 2.0 h_c + pi_c + ttdca_c	-0.0
DASYN120	DASYN120	ctp_c + h_c + pa120_c --> cdpdddecg_c + ppi_c	-0.0
DASYN140	DASYN140	ctp_c + h_c + pa140_c --> cdpdtdecg_c + ppi_c	-9.7
DASYN141	DASYN141	ctp_c + h_c + pa141_c --> cdpdtdec7eg_c + ppi_c	0.0
DASYN160	DASYN160	ctp_c + h_c + pa160_c --> cdpdhdecg_c + ppi_c	-0.0
DASYN161	DASYN161	ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c	0.0
DASYN180	DASYN180	ctp_c + h_c + pa180_c --> cdpdodecg_c + ppi_c	-9.7
DASYN181	DASYN181	ctp_c + h_c + pa181_c --> cdpdodec11eg_c + ppi_c	0.0
G3PAT120_num1	G3PAT120_num1	ddcaACP_c + glyc3p_c --> 1ddecg3p_c + ACP_c	0.0
G3PAT140_num1	G3PAT140_num1	glyc3p_c + myrsACP_c --> 1tdecg3p_c + ACP_c	0.0
G3PAT141_num1	G3PAT141_num1	glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + ACP_c	-0.0
G3PAT160_num1	G3PAT160_num1	glyc3p_c + palmACP_c --> 1hdecg3p_c + ACP_c	-0.0
G3PAT161_num1	G3PAT161_num1	glyc3p_c + hdeACP_c --> 1hdec9eg3p_c + ACP_c	-0.0
G3PAT180_num1	G3PAT180_num1	glyc3p_c + ocdcaACP_c --> 1odecg3p_c + ACP_c	0.0
G3PAT181_num1	G3PAT181_num1	glyc3p_c + octeACP_c --> 1odec11eg3p_c + ACP_c	-0.0
GPDDA2	GPDDA2	g3pe_c + h2o_c --> etha_c + glyc3p_c + h_c	-0
GPDDA3	GPDDA3	g3ps_c + h2o_c --> glyc3p_c + h_c + ser__L_c	-0
GPDDA4	GPDDA4	g3pg_c + h2o_c --> glyc3p_c + glyc_c + h_c	-0
GPDDA5	GPDDA5	g3pi_c + h2o_c --> glyc3p_c + h_c + inost_c	-0
LPLIPAL1A180pp_num1	LPLIPAL1A180pp_num1	1odecg3p_c + h2o_c --> glyc3p_c + h_c + ocdca_c	-28.6
PGSA120	PGSA120	cdpdddecg_c + glyc3p_c --> cmp_c + h_c + pgp120_c	0.0
PGSA140	PGSA140	cdpdtdecg_c + glyc3p_c --> cmp_c + h_c + pgp140_c	-0.0
PGSA141	PGSA141	cdpdtdec7eg_c + glyc3p_c --> cmp_c + h_c + pgp141_c	-0.0
PGSA160	PGSA160	cdpdhdecg_c + glyc3p_c --> cmp_c + h_c + pgp160_c	0.0
PGSA161	PGSA161	cdpdhdec9eg_c + glyc3p_c --> cmp_c + h_c + pgp161_c	0
PGSA180	PGSA180	cdpdodecg_c + glyc3p_c --> cmp_c + h_c + pgp180_c	0
PGSA181	PGSA181	cdpdodec11eg_c + glyc3p_c --> cmp_c + h_c + pgp181_c	-0.0
GHMT2r	GHMT2r	ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c	-10.1
GLYCK2	GLYCK2	atp_c + glyc__R_c --> 2pg_c + adp_c + h_c	-11.4
PGCD	PGCD	3pg_c + nad_c --> 3php_c + h_c + nadh_c	29.5
PSERT	PSERT	3php_c + glu__L_c --> akg_c + pser__L_c	-10.9
PSP_L	PSP_L	h2o_c + pser__L_c --> pi_c + ser__L_c	-10.56
SARCOX	SARCOX	h2o_c + o2_c + sarcs_c --> fald_c + gly_c + h2o2_c	-71
SERD_L	SERD_L	ser__L_c --> nh4_c + pyr_c	-29.9
ENO	ENO	2pg_c --> h2o_c + pep_c	-3.89
FBA	FBA	fdp_c --> dhap_c + g3p_c	23.7
FBP	FBP	fdp_c + h2o_c --> f6p_c + pi_c	-11.7
GAPD_num1	GAPD_num1	g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c	0.1
GLBRAN2	GLBRAN2	glycogen_c --> bglycogen_c	-0.0
GLCP_num1	GLCP_num1	glycogen_c + pi_c --> g1p_c	811
GLCP2_num1	GLCP2_num1	bglycogen_c + pi_c --> g1p_c	0.0
GLCS1	GLCS1	adpglc_c --> adp_c + glycogen_c + h_c	-817
GLGC	GLGC	atp_c + g1p_c + h_c --> adpglc_c + ppi_c	-8.7
HEX1	HEX1	atp_c + glc__D_c --> adp_c + g6p_c + h_c	-21.2
PDH	PDH	coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c	-34.4
PFK	PFK	atp_c + f6p_c --> adp_c + fdp_c + h_c	-18.9
PGI	PGI	g6p_c --> f6p_c	2.5
PGK	PGK	13dpg_c + adp_c --> 3pg_c + atp_c	-19.5
PGM_num1	PGM_num1	3pg_c --> 2pg_c	4.3
PPS	PPS	atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c	-6.6
PYK_num1	PYK_num1	adp_c + h_c + pep_c --> atp_c + pyr_c	-24.5
TPI	TPI	dhap_c --> g3p_c	5.7
GLYCK	GLYCK	atp_c + glyc__R_c --> 3pg_c + adp_c + h_c	-15.6
ATPPRT	ATPPRT	atp_c + prpp_c --> ppi_c + prbatp_c	-0.0
HISTD	HISTD	h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his__L_c + 2.0 nadh_c	-19.6
HISTP	HISTP	h2o_c + hisp_c --> histd_c + pi_c	-21.4
HSTPT_num1	HSTPT_num1	glu__L_c + imacp_c --> akg_c + hisp_c	9.5
IG3PS	IG3PS	gln__L_c + prlp_c --> aicar_c + eig3p_c + glu__L_c + h_c	0
IGPDH	IGPDH	eig3p_c --> h2o_c + imacp_c	-41.9
PRAMPC	PRAMPC	h2o_c + prbamp_c --> prfp_c	-0.0
PRATPP	PRATPP	h2o_c + prbatp_c --> h_c + ppi_c + prbamp_c	-0.0
PRMICI	PRMICI	prfp_c --> prlp_c	-9.8
PRPPS	PRPPS	atp_c + r5p_c --> amp_c + h_c + prpp_c	-1.4
CA2t3pp	CA2t3pp	ca2_c + h_e --> ca2_e + h_c	0.0
CAt6pp_num1	CAt6pp_num1	ca2_c + na1_e --> ca2_e + na1_c	0.0
COBALT2abcpp	COBALT2abcpp	atp_c + cobalt2_e + h2o_c --> adp_c + cobalt2_c + h_c + pi_c	-30.61
COBALT2tpp	COBALT2tpp	cobalt2_e --> cobalt2_c	0.0
CYANSTpp_num1	CYANSTpp_num1	cyan_c + tsul_c --> h_c + so3_c + tcynt_c	-0.0
FDMO	FDMO	fmnh2_c + isetac_c + o2_c --> fmn_c + gcald_c + h2o_c + h_c + so3_c	-0
FE3abcpp_num1	FE3abcpp_num1	atp_c + fe3_e + h2o_c --> adp_c + fe3_c + h_c + pi_c	-30.61
FEROpp	FEROpp	4.0 fe2_c + 4.0 h_c + o2_c --> 4.0 fe3_c + 2.0 h2o_c	-28
Kabcpp_num1	Kabcpp_num1	atp_c + h2o_c + k_e --> adp_c + h_c + k_c + pi_c	-30.61
Kt2pp	Kt2pp	h_e + k_e --> h_c + k_c	0.0
Kt3pp	Kt3pp	h_e + k_c --> h_c + k_e	0.0
MG2t3_2pp_num1	MG2t3_2pp_num1	2.0 h_c + mg2_e --> 2.0 h_e + mg2_c	0.0
MG2uabcpp	MG2uabcpp	atp_c + h2o_c + mg2_e --> adp_c + h_c + mg2_c + pi_c	-30.61
MN2tpp	MN2tpp	mn2_e --> mn2_c	0.0
NAt3_1p5pp_num1	NAt3_1p5pp_num1	3.0 h_e + 2.0 na1_c --> 3.0 h_c + 2.0 na1_e	0.0
NAt3_2pp_num1	NAt3_2pp_num1	2.0 h_e + na1_c --> 2.0 h_c + na1_e	0.0
NAt3pp	NAt3pp	h_e + na1_c --> h_c + na1_e	0.0
NH4tpp_num1	NH4tpp_num1	nh4_e --> nh4_c	0.0
NI2tpp	NI2tpp	ni2_e --> ni2_c	0.0
NI2uabcpp	NI2uabcpp	atp_c + h2o_c + ni2_e --> adp_c + h_c + ni2_c + pi_c	-30.61
NO2t2rpp	NO2t2rpp	h_e + no2_e --> h_c + no2_c	0.0
NO3t7pp	NO3t7pp	no2_c + no3_e --> no2_e + no3_c	0.0
O2tpp	O2tpp	o2_e --> o2_c	0.0
PIt2rpp	PIt2rpp	h_e + pi_e --> h_c + pi_c	0.0
PIuabcpp	PIuabcpp	atp_c + h2o_c + pi_e --> adp_c + h_c + 2.0 pi_c	-30.61
PPTHpp	PPTHpp	h2o_c + ppt_c --> h2_c + pi_c	-0.0
SFRD	SFRD	fdxox_c + 3.0 h2o_c + h2s_c --> 6.0 fdxrd_c + 6.0 h_c + so3_c	0.0
SO3TRDRD	SO3TRDRD	aps_c + trdrd_c --> amp_c + 2.0 h_c + so3_c + trdox_c	-41
SULabcpp	SULabcpp	atp_c + h2o_c + so4_e --> adp_c + h_c + pi_c + so4_c	-30.61
ZN2abcpp_num1	ZN2abcpp_num1	atp_c + h2o_c + zn2_c --> adp_c + h_c + pi_c + zn2_e	-30.61
ZN2t3pp	ZN2t3pp	h_e + zn2_c --> h_c + zn2_e	0.0
ZN2tpp	ZN2tpp	zn2_e --> zn2_c	0.0
ZNabcpp	ZNabcpp	atp_c + h2o_c + zn2_e --> adp_c + h_c + pi_c + zn2_c	-30.61
CD2tpp	CD2tpp	cd2_e --> cd2_c	0.0
CU2tpp	CU2tpp	cu2_e --> cu2_c	0.0
FE2tpp_num1	FE2tpp_num1	fe2_e --> fe2_c	0.0
MI1PS	MI1PS	g6p_c --> mi3p__D_c	-60
MI2DH_num1	MI2DH_num1	inost_c + nad_c --> 2ins_c + h_c + nadh_c	-6.7
U23GAAT_num1	U23GAAT_num1	3hmrsACP_c + u3hga_c --> ACP_c + h_c + u23ga_c	0.0
UAGAAT_num1	UAGAAT_num1	3hmrsACP_c + uacgam_c --> ACP_c + u3aga_c	0.0
ACACT1r	ACACT1r	2.0 accoa_c --> aacoa_c + coa_c	25.2
ACCOAC_num1	ACCOAC_num1	accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c	-10.1
ACOAD1f	ACOAD1f	btcoa_c + fad_c --> b2coa_c + fadh2_c	36
ACOAD2f	ACOAD2f	fad_c + hxcoa_c --> fadh2_c + hx2coa_c	0.0
ACOAD3f	ACOAD3f	fad_c + occoa_c --> fadh2_c + oc2coa_c	41.4
ACOAD4f	ACOAD4f	dcacoa_c + fad_c --> dc2coa_c + fadh2_c	0.0
ACOAD5f	ACOAD5f	ddcacoa_c + fad_c --> dd2coa_c + fadh2_c	41.4
ACOAD6f	ACOAD6f	fad_c + tdcoa_c --> fadh2_c + td2coa_c	41.4
ACOAD7f	ACOAD7f	fad_c + pmtcoa_c --> fadh2_c + hdd2coa_c	44.9
ACOAD8f	ACOAD8f	fad_c + stcoa_c --> fadh2_c + od2coa_c	41.4
ACOATA_num1	ACOATA_num1	ACP_c + accoa_c --> acACP_c + coa_c	-0.0
KAS14_num1	KAS14_num1	acACP_c + h_c + malACP_c --> ACP_c + actACP_c + co2_c	0.0
KAS15_num1	KAS15_num1	accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c	-0.0
MACPD	MACPD	h_c + malACP_c --> acACP_c + co2_c	0.0
MCOATA_num1	MCOATA_num1	ACP_c + malcoa_c --> coa_c + malACP_c	-0.0
ACHACB	ACHACB	achms_c + ch4s_c --> ac_c + hcys__L_c	-176.8
AHCYSNS	AHCYSNS	ahcys_c + h2o_c --> ade_c + rhcys_c	-16.4
CYSTL	CYSTL	cyst__L_c + h2o_c --> hcys__L_c + nh4_c + pyr_c	0.7
HSST_num1	HSST_num1	accoa_c + hom__L_c --> achms_c + coa_c	-28
METAT	METAT	atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c	-0.0
METS	METS	5mthf_c + hcys__L_c --> h_c + met__L_c + thf_c	0
METSOXR1_num1	METSOXR1_num1	metsox_S__L_c + trdrd_c --> h2o_c + met__L_c + trdox_c	-0.0
SHSL1_num1	SHSL1_num1	cys__L_c + suchms_c --> cyst__L_c + h_c + succ_c	-66
MCTP1App	MCTP1App	murein5p5p_c --> ala__D_c + murein5px4p_c	0
MCTP1Bpp	MCTP1Bpp	murein5p5p_c --> alaala_c + murein5px3p_c	-0.0
MCTP2App	MCTP2App	murein5p5p5p_c --> 2.0 ala__D_c + murein5px4px4p_c	-0.0
MDDCP3pp	MDDCP3pp	h2o_c + murein5p5p_c --> ala__D_c + murein5p4p_c	0.0
MDDCP4pp	MDDCP4pp	h2o_c + murein5p4p_c --> ala__D_c + murein4p4p_c	0.0
MDDCP5pp	MDDCP5pp	h2o_c + murein5p3p_c --> ala__D_c + murein4p3p_c	0.0
MPTG_num1	MPTG_num1	2.0 uaagmda_c --> 2.0 h_c + murein5p5p_e + 2.0 udcpdp_c	-0.0
MPTG2_num1	MPTG2_num1	murein5p5p_e + uaagmda_c --> h_c + murein5p5p5p_e + udcpdp_c	-0
AGM4PApp	AGM4PApp	anhgm4p_c + h2o_c --> LalaDgluMdapDala_c + anhgm_c	-0.0
NHFRBO_num1	NHFRBO_num1	h_c + nadh_c + 2.0 no_c --> h2o_c + n2o_c + nad_c	-285
NO3R1bpp	NO3R1bpp	no3_e + q8h2_c --> h2o_e + no2_e + q8_c	-5
NO3R2bpp	NO3R2bpp	mql8_c + no3_e --> h2o_e + mqn8_c + no2_e	-112
NTRIR3pp	NTRIR3pp	2.0 h_e + no2_e + 3.0 q8h2_c --> 2.0 h2o_e + nh4_e + 3.0 q8_c	18
NTRIR4pp	NTRIR4pp	2.0 h_e + 3.0 mql8_c + no2_e --> 2.0 h2o_e + 3.0 mqn8_c + nh4_e	-305
3NTD2pp	3NTD2pp	3ump_c + h2o_c --> pi_c + uri_c	-13.9
3NTD4pp	3NTD4pp	3cmp_c + h2o_c --> cytd_c + pi_c	-22.6
3NTD7pp	3NTD7pp	3amp_c + h2o_c --> adn_c + pi_c	-18.1
3NTD9pp	3NTD9pp	3gmp_c + h2o_c --> gsn_c + pi_c	-13.7
ADK1	ADK1	amp_c + atp_c --> 2.0 adp_c	0.52
ADK2	ADK2	atp_c + damp_c --> adp_c + dadp_c	3.4
ADK3	ADK3	amp_c + gtp_c --> adp_c + gdp_c	2.7
ADK4	ADK4	amp_c + itp_c --> adp_c + idp_c	-0.7
ADNCYC	ADNCYC	atp_c --> camp_c + ppi_c	-1.2
ADNK1	ADNK1	adn_c + atp_c --> adp_c + amp_c + h_c	-15.9
ADPRDP	ADPRDP	adprib_c + h2o_c --> amp_c + 2.0 h_c + r5p_c	-33.1
ADPT	ADPT	ade_c + prpp_c --> amp_c + ppi_c	-24.4
AMPN	AMPN	amp_c + h2o_c --> ade_c + r5p_c	-20.2
AP5AH	AP5AH	ap5a_c + h2o_c --> adp_c + atp_c + 2.0 h_c	-0.0
ATPHs	ATPHs	atp_c + h2o_c + h_c --> itp_c + nh4_c	-51.1
CYTDK2	CYTDK2	cytd_c + gtp_c --> cmp_c + gdp_c + h_c	-14.3
CYTK1	CYTK1	atp_c + cmp_c --> adp_c + cdp_c	2.0
CYTK2	CYTK2	atp_c + dcmp_c --> adp_c + dcdp_c	2.0
DCTPD_num1	DCTPD_num1	dctp_c + h2o_c + h_c --> dutp_c + nh4_c	-29.4
DGK1	DGK1	atp_c + dgmp_c --> adp_c + dgdp_c	5.3
DTMPK	DTMPK	atp_c + dtmp_c --> adp_c + dtdp_c	-2.3
DURIK1	DURIK1	atp_c + duri_c --> adp_c + dump_c + h_c	-17.1
DUTPDP	DUTPDP	dutp_c + h2o_c --> dump_c + h_c + ppi_c	-44.9
GK1	GK1	atp_c + gmp_c --> adp_c + gdp_c	-0.1
GP4GH	GP4GH	gp4g_c + h2o_c --> 2.0 gdp_c + 2.0 h_c	-55
GSNHYDRO_num1	GSNHYDRO_num1	gsn_c + h2o_c --> gua_c + rib__D_c	-2.6
GSNK	GSNK	atp_c + gsn_c --> adp_c + gmp_c + h_c	-22.8
GTPHs	GTPHs	gtp_c + h2o_c + h_c --> nh4_c + xtp_c	0
GUAPRT	GUAPRT	gua_c + prpp_c --> gmp_c + ppi_c	-34.7
HXPRT_num1	HXPRT_num1	hxan_c + prpp_c --> imp_c + ppi_c	-32.1
INSH	INSH	h2o_c + ins_c --> hxan_c + rib__D_c	-7.5
NDPK1	NDPK1	atp_c + gdp_c --> adp_c + gtp_c	-2.2
NDPK2	NDPK2	atp_c + udp_c --> adp_c + utp_c	0.5
NDPK3	NDPK3	atp_c + cdp_c --> adp_c + ctp_c	0.3
NDPK4	NDPK4	atp_c + dtdp_c --> adp_c + dttp_c	0.8
NDPK5	NDPK5	atp_c + dgdp_c --> adp_c + dgtp_c	1.7
NDPK6	NDPK6	atp_c + dudp_c --> adp_c + dutp_c	-1.1
NDPK7	NDPK7	atp_c + dcdp_c --> adp_c + dctp_c	3.8
NDPK8	NDPK8	atp_c + dadp_c --> adp_c + datp_c	2.5
NNATr	NNATr	atp_c + h_c + nicrnt_c --> dnad_c + ppi_c	-25
NTD1	NTD1	dump_c + h2o_c --> duri_c + pi_c	-13.5
NTD10	NTD10	h2o_c + xmp_c --> pi_c + xtsn_c	-11.7
NTD11	NTD11	h2o_c + imp_c --> ins_c + pi_c	-5.6
NTD12	NTD12	dimp_c + h2o_c --> din_c + pi_c	-17.4
NTD2	NTD2	h2o_c + ump_c --> pi_c + uri_c	-9
NTD3	NTD3	dcmp_c + h2o_c --> dcyt_c + pi_c	-16.6
NTD4	NTD4	cmp_c + h2o_c --> cytd_c + pi_c	-14.1
NTD5	NTD5	dtmp_c + h2o_c --> pi_c + thymd_c	-9.4
NTD6	NTD6	damp_c + h2o_c --> dad_2_c + pi_c	-16.3
NTD7	NTD7	amp_c + h2o_c --> adn_c + pi_c	-14.7
NTD8	NTD8	dgmp_c + h2o_c --> dgsn_c + pi_c	-14.4
